BarcodePair,Sample
primer_5p--BC1001_3p,S19_WT_4mos
primer_5p--BC1002_3p,K24_TG_8mos
primer_5p--BC1003_3p,L22_TG_8mos
primer_5p--BC1004_3p,M21_WT_2mos
primer_5p--BC1005_3p,O18_TG_2mos
primer_5p--BC1006_3p,O23_WT_8mos
primer_5p--BC1007_3p,O22_TG_6mos
primer_5p--BC1008_3p,P19_WT_6mos
primer_5p--BC1009_3p,T20_TG_6mos
