BarcodePair,Sample
primer_5p--BC1001_3p,Q20_TG_8mos
primer_5p--BC1002_3p,Q21_WT_2mos
primer_5p--BC1003_3p,S18_TG_2mos
primer_5p--BC1004_3p,S23_WT_8mos
primer_5p--BC1005_3p,Q18_TG_6mos
primer_5p--BC1006_3p,Q17_WT_6mos
primer_5p--BC1007_3p,L18_TG_4mos
primer_5p--BC1008_3p,Q23_WT_4mos
primer_5p--BC1009_3p,T18_TG_4mos
