"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUST00000129339.7_PB.100.1",19.8776461459764,0.0885062514877299,1.02809161966075,0.0860879028631074,0.931396540039361,0.999942619538179
"ENSMUST00000087374.9_PB.102.1",2.84319008395222,-0.399392655042659,0.898785269127836,-0.444369382500251,0.65677554581948,0.999942619538179
"ENSMUST00000087374.9_PB.102.3",1.88576964310677,-0.35337516131237,1.44940188924553,-0.243807576031459,0.807379852540578,0.999942619538179
"ENSMUST00000027103.6_PB.103.2",3.58279931962767,0.0124217228075059,0.828820554620816,0.014987228222385,0.988042369641668,0.999942619538179
"novel_PB.107.13",1.11041176640671,-0.364731555595364,1.74570933437842,-0.208930288916185,0.834502658781299,NA
"ENSMUST00000128673.7_PB.107.14",1.04694767239269,0.504530078462577,1.81531274307436,0.277930114459573,0.781066006266738,NA
"novel_PB.107.15",0.758536585256884,-0.0832388755451291,2.14609479558825,-0.0387862063298621,0.969060842314128,NA
"ENSMUST00000114013.7_PB.107.20",1.38092105187206,-0.732875573711921,2.07132082620507,-0.353820405047849,0.723473480417655,NA
"ENSMUST00000114013.7_PB.107.24",10.4702729613129,0.255271993172443,0.965167364000818,0.264484692182595,0.791406458848234,0.999942619538179
"novel_PB.107.33",3.25249051651438,-0.107233541795907,1.21908672643282,-0.0879621929029481,0.92990672531686,0.999942619538179
"ENSMUST00000151423.8_PB.107.40",1.79899519062608,-0.707476223462523,2.02534884547026,-0.349310798998804,0.72685599204184,0.999942619538179
"novel_PB.107.5",3.46763107882312,-1.20249900647963,1.517753852002,-0.792288555152384,0.428192443454868,0.999942619538179
"novel_PB.109.1",0.832683004632002,-0.450605979555051,2.53319154222044,-0.177880737419515,0.858816638894432,NA
"ENSMUST00000027157.9_PB.109.4",3.11089655301467,-0.419586476863777,0.987234120389648,-0.425012130555386,0.670827831785509,0.999942619538179
"ENSMUST00000027384.5_PB.111.2",6.3523916921901,-0.262125834638549,0.685234851184479,-0.382534300737105,0.702065091618198,0.999942619538179
"ENSMUST00000141783.1_PB.113.1",0.845670747333004,0.0821800245146669,2.10792050968487,0.0389863014933863,0.968901310135889,NA
"ENSMUST00000027380.11_PB.113.2",3.19596740478259,-1.26460408520166,1.04625173660406,-1.20869962835744,0.22677826452137,0.999942619538179
"novel_PB.114.3",1.68919578387714,0.517657954612184,1.53164235085799,0.337975738475894,0.735381470974876,0.999942619538179
"ENSMUST00000047615.14_PB.115.3",2.28396877319452,-1.33605029611989,1.30158100810149,-1.02648262982008,0.304664147135118,0.999942619538179
"ENSMUST00000047615.14_PB.115.4",0.962042069056788,0.833227141982333,2.06952362851785,0.402617844271279,0.687229380391604,NA
"ENSMUST00000059980.10_PB.116.1",14.488122165987,1.40078116640922,2.90782634831349,0.481727929599944,NA,NA
"ENSMUST00000059980.10_PB.116.2",3.66019387074212,-0.431935111337166,1.16381949380589,-0.371135827880546,0.710536366851761,0.999942619538179
"ENSMUST00000059980.10_PB.116.4",63.8061593016958,-0.411508348362555,2.45483868932557,-0.16763152306175,0.866873170285696,0.999942619538179
"ENSMUST00000212432.1_PB.116.5",0.900772681955337,2.15384766748831,2.43334915526005,0.885137121745328,0.376082680217863,NA
"ENSMUST00000047328.10_PB.117.1",17.0148576951806,0.199086674300601,0.871811454949453,0.228359782577237,0.819366552294951,0.999942619538179
"ENSMUST00000113820.8_PB.118.3",5.37698536986837,0.225575847503099,0.942346329057422,0.239376798685819,0.810813419073021,0.999942619538179
"ENSMUST00000006467.13_PB.118.4",21.400066581847,-0.459814647458922,0.755877508727664,-0.608318996331705,0.542975924343095,0.999942619538179
"ENSMUST00000113820.8_PB.118.5",12.9040616401656,-0.249602480635283,0.76175597357678,-0.3276672442269,0.74316327255767,0.999942619538179
"ENSMUST00000006467.13_PB.118.6",12.8062174660288,-0.368183697157078,0.801701809857429,-0.45925267054412,0.646052731235877,0.999942619538179
"ENSMUST00000113820.8_PB.118.7",1.23903377243013,1.82231553797191,2.00905731522422,0.907050049873032,0.364380330686572,NA
"ENSMUST00000113805.7_PB.119.3",9.23492772798334,-0.0991687256004352,0.997326003829971,-0.0994346133757704,0.920793201432927,0.999942619538179
"ENSMUST00000027370.12_PB.119.5",36.8878753426128,-0.0762580165239279,0.328513193611986,-0.23213075762795,0.816436456121439,0.999942619538179
"ENSMUST00000087225.5_PB.119.7",14.9930541466995,0.412308418225739,0.476760377471656,0.864812676783845,0.387141612162262,0.999942619538179
"ENSMUST00000027367.13_PB.121.1",4.35889911008448,-0.829832766307309,0.737835101237619,-1.12468594258443,0.260722140647841,0.999942619538179
"ENSMUST00000087215.6_PB.122.1",4.27476513503793,-0.150474245439906,0.89886631404176,-0.167404477272373,0.867051802534674,0.999942619538179
"ENSMUST00000113747.7_PB.123.1",4.36488801758885,-0.83534642199043,0.772763107045489,-1.08098641663189,0.279703155914491,0.999942619538179
"ENSMUST00000113733.9_PB.124.1",1.17381906145148,0.291506171082931,1.79718324231946,0.162201696643193,0.871147023765343,NA
"ENSMUST00000135014.7_PB.13.1",0.943835982899261,0.754861777353202,1.79289679337851,0.421029130143486,0.673733810630615,NA
"ENSMUST00000190240.6_PB.131.1",7.97628474756154,-0.436186863676155,0.673318234538741,-0.64781679939942,0.517103448475611,0.999942619538179
"ENSMUST00000188873.6_PB.131.2",1.27535522409777,0.0102999807654227,1.54266159228779,0.00667675970991643,0.994672756091938,NA
"ENSMUST00000097694.10_PB.131.3",26.8894346892675,-0.488623130759824,0.46039461022867,-1.06131375108221,0.288547338510167,0.999942619538179
"ENSMUST00000160439.7_PB.132.1",4.84614759786266,-0.151183031591522,1.15624513191357,-0.130753442690234,0.895970354052293,0.999942619538179
"novel_PB.134.1",1.88150834834436,-0.240404930927414,1.54460229433782,-0.155641961564272,0.876315247426667,0.999942619538179
"ENSMUST00000027401.10_PB.134.3",8.37061379803804,-0.577998640367135,0.771039055340018,-0.749636009180165,0.453473957196363,0.999942619538179
"ENSMUST00000188931.6_PB.135.1",6.90685367410515,-0.616615246338041,0.740603208204096,-0.832585167748981,0.405078726941804,0.999942619538179
"ENSMUST00000082158.12_PB.135.2",1.24426017450876,0.533121235506062,2.39042097722784,0.223023994762764,0.823516831665236,NA
"ENSMUST00000188290.6_PB.135.3",5.78254912889847,-0.552374162025592,0.82101816743768,-0.672791643270817,0.501079854969681,0.999942619538179
