sample	time	group
FL.K17	2	CONTROL
FL.M21	2	CONTROL
FL.L23	2	CONTROL
FL.Q21	2	CONTROL
FL.P23	2	CONTROL
FL.S17	2	CONTROL
FL.T23	2	CONTROL
FL.K19	4	CONTROL
FL.L17	4	CONTROL
FL.M23	4	CONTROL
FL.O19	4	CONTROL
FL.P17	4	CONTROL
FL.Q23	4	CONTROL
FL.S19	4	CONTROL
FL.T17	4	CONTROL
FL.K21	6	CONTROL
FL.M17	6	CONTROL
FL.O21	6	CONTROL
FL.P19	6	CONTROL
FL.Q17	6	CONTROL
FL.S21	6	CONTROL
FL.T19	6	CONTROL
FL.L21	8	CONTROL
FL.M19	8	CONTROL
FL.K23	8	CONTROL
FL.P21	8	CONTROL
FL.Q19	8	CONTROL
FL.T21	8	CONTROL
FL.O23	8	CONTROL
FL.S23	8	CONTROL
FL.K18	2	CASE
FL.L24	2	CASE
FL.M22	2	CASE
FL.O18	2	CASE
FL.P24	2	CASE
FL.Q22	2	CASE
FL.S18	2	CASE
FL.T24	2	CASE
FL.K20	4	CASE
FL.L18	4	CASE
FL.M24	4	CASE
FL.O20	4	CASE
FL.P18	4	CASE
FL.Q24	4	CASE
FL.S20	4	CASE
FL.T18	4	CASE
FL.M18	6	CASE
FL.O22	6	CASE
FL.P20	6	CASE
FL.Q18	6	CASE
FL.S22	6	CASE
FL.T20	6	CASE
FL.K24	8	CASE
FL.L22	8	CASE
FL.M20	8	CASE
FL.O24	8	CASE
FL.Q20	8	CASE
FL.S24	8	CASE
FL.T22	8	CASE
