transcript_id	WT_2mos	TG_2mos	WT_4mos	TG_4mos	WT_6mos	WT_8mos	TG_8mos	TG_6mos
PB.23.1	0	1	0	0	0	0	1	1
PB.23.2	0	1	2	1	0	0	0	0
PB.23.3	2	1	0	1	0	0	0	0
PB.23.4	0	1	0	0	0	0	1	0
PB.23.5	0	0	1	1	0	0	0	0
PB.23.6	0	1	0	0	2	0	0	0
PB.23.7	0	2	1	2	0	3	2	2
PB.23.8	1	0	0	0	0	1	0	0
PB.230.1	1	0	0	2	0	2	0	0
PB.230.2	1	0	1	0	0	0	0	0
PB.231.2	1	0	0	0	1	1	0	1
PB.231.3	5	4	7	6	5	5	5	3
PB.231.4	1	1	0	0	0	0	0	0
PB.232.1	0	0	0	0	0	0	1	1
PB.233.1	1	2	0	1	0	1	1	0
PB.234.1	0	1	1	1	1	1	1	0
PB.235.1	0	0	0	0	1	0	0	1
PB.237.1	1	0	0	0	0	1	0	0
PB.238.1	0	0	0	0	0	0	1	1
PB.238.2	4	6	5	10	3	2	2	1
PB.238.3	1	1	0	0	0	0	0	0
PB.238.4	1	1	0	0	0	0	0	0
PB.238.5	0	1	1	1	0	1	0	0
PB.238.7	3	0	0	0	0	0	0	0
PB.238.8	2	7	7	4	4	2	3	5
PB.239.1	2	1	2	1	1	0	1	1
PB.239.2	2	8	8	3	2	3	3	4
PB.24.2	0	6	7	5	3	2	1	1
PB.24.3	1	0	0	1	0	1	0	1
PB.24.4	0	0	0	2	1	0	0	0
PB.24.6	2	2	2	0	2	0	0	2
PB.240.1	0	1	0	0	1	0	0	1
PB.240.2	1	1	0	1	0	1	0	0
PB.241.1	1	0	2	1	1	2	0	2
PB.242.1	2	1	1	1	1	1	1	0
PB.243.2	0	0	0	1	1	0	0	0
PB.243.3	1	1	0	0	0	2	0	3
PB.243.6	1	0	0	0	0	0	0	1
PB.243.7	1	1	0	1	1	2	0	0
PB.243.8	0	0	2	1	0	0	0	0
PB.244.1	4	7	13	8	7	5	4	3
PB.244.2	0	0	0	0	2	0	0	0
PB.244.3	1	0	2	0	2	1	0	0
PB.245.1	1	1	0	0	0	1	0	0
PB.246.1	0	1	0	0	0	1	2	0
PB.246.2	1	4	1	2	1	0	1	0
PB.246.3	0	1	1	0	0	0	0	0
PB.247.1	1	0	0	0	1	0	0	0
PB.247.3	1	1	0	1	0	0	0	0
PB.247.4	0	0	0	0	0	0	0	2
PB.248.1	1	0	0	2	0	0	0	1
PB.249.1	0	0	0	0	0	0	0	2
PB.25.1	4	1	2	1	0	1	1	0
PB.25.2	2	7	1	3	0	5	4	0
PB.250.1	4	7	5	5	5	9	4	3
PB.250.2	1	0	1	0	0	0	0	0
PB.250.4	1	1	0	0	0	0	1	0
PB.250.5	2	1	0	1	0	0	0	2
PB.250.6	1	1	0	0	0	0	0	0
PB.251.1	1	1	3	2	2	1	1	0
PB.251.2	0	0	0	0	1	0	1	0
PB.252.1	0	1	1	1	1	4	0	0
PB.252.2	0	0	1	0	0	1	0	0
PB.253.1	1	1	1	2	1	1	0	1
PB.253.2	0	1	1	1	1	1	2	2
PB.254.1	0	1	0	0	2	0	0	0
PB.254.2	0	1	1	1	0	0	1	0
PB.257.1	0	0	0	3	0	0	0	0
PB.258.1	0	1	0	0	0	0	0	1
PB.258.3	1	0	0	0	1	1	0	0
PB.258.4	0	1	1	0	0	0	0	0
PB.258.5	1	0	0	1	0	0	0	0
PB.26.1	0	0	0	1	0	0	0	1
PB.26.2	2	0	1	0	0	0	0	0
PB.26.3	0	0	0	1	0	0	0	1
PB.264.1	2	0	0	0	0	0	0	0
PB.265.1	1	0	1	0	0	0	0	0
PB.265.2	0	0	1	0	0	0	1	0
PB.265.3	0	0	1	0	0	1	0	0
PB.266.3	0	1	1	0	1	0	0	0
PB.268.1	1	2	1	2	0	0	0	1
PB.27.2	1	1	0	1	1	0	0	0
PB.27.3	0	0	0	0	0	0	0	2
PB.270.1	0	1	0	1	0	2	0	0
PB.271.1	0	2	1	2	1	4	0	0
PB.272.1	0	0	1	1	0	0	0	0
PB.274.1	4	0	2	0	0	0	2	1
PB.275.1	1	2	1	0	0	0	1	1
PB.276.1	1	0	0	0	0	0	0	1
PB.278.1	2	0	0	1	0	0	0	0
PB.279.1	2	0	0	0	0	0	0	0
PB.28.1	1	1	3	3	0	0	1	0
PB.280.1	0	1	1	0	1	0	0	1
PB.281.2	8	5	5	9	3	3	3	8
PB.282.1	0	1	0	0	1	0	0	0
PB.283.1	0	0	0	1	1	0	1	1
PB.283.2	0	0	1	0	1	0	1	0
PB.284.1	1	0	1	2	1	1	0	3
PB.285.1	0	0	1	0	0	1	0	0
PB.286.1	0	0	0	0	0	1	1	0
PB.287.2	0	0	0	0	2	0	0	0
PB.289.1	0	0	1	1	0	0	0	1
PB.289.2	0	1	0	0	0	0	1	0
PB.289.3	8	6	3	14	2	13	1	11
PB.289.4	0	0	1	0	0	1	0	1
PB.289.6	2	1	1	0	0	3	1	0
PB.289.7	0	0	1	0	0	0	0	1
PB.290.1	0	1	0	0	0	1	0	1
PB.291.2	0	1	0	2	1	0	0	0
PB.291.3	0	0	0	1	0	1	0	0
PB.293.1	1	0	2	0	0	0	0	0
PB.294.1	0	0	0	0	0	1	1	0
PB.295.1	0	0	1	0	0	0	0	1
PB.296.1	1	0	2	0	0	0	0	0
PB.296.2	0	1	1	0	0	0	0	0
PB.297.2	0	0	1	1	2	1	0	2
PB.298.1	2	5	6	4	1	3	2	4
PB.298.2	0	0	0	0	1	1	0	0
PB.3.2	1	1	0	1	2	2	0	0
PB.302.1	0	0	1	0	0	0	1	0
PB.303.1	0	1	1	1	0	0	0	0
PB.304.1	0	0	1	0	1	1	0	0
PB.304.2	1	0	0	0	0	1	0	0
PB.306.1	0	0	0	0	0	0	2	0
PB.307.2	1	0	0	0	0	1	0	0
PB.310.1	1	0	1	0	1	0	0	0
PB.310.2	0	0	0	0	1	1	0	0
PB.310.4	1	0	0	3	0	0	0	1
PB.311.1	1	0	1	0	0	0	0	0
