transcript_id	All
PB.736.5	2
PB.736.6	8
PB.736.7	3
PB.736.8	3
PB.737.1	9
PB.738.3	5
PB.738.7	2
PB.739.1	5
PB.739.2	7
PB.740.1	2
PB.741.1	3
PB.742.1	2
PB.743.1	25
PB.745.1	217
PB.745.10	6
PB.745.12	2
PB.745.15	3
PB.745.16	2
PB.745.17	3
PB.745.18	6
PB.745.8	4
PB.746.1	7
PB.747.1	4
PB.747.2	3
PB.747.3	3
PB.748.1	4
PB.748.3	14
PB.748.4	2
PB.748.5	2
PB.748.6	2
PB.748.7	2
PB.749.1	5
PB.750.1	19
PB.750.2	2
PB.751.1	12
PB.751.2	10
PB.752.1	3
PB.752.10	4
PB.752.12	2
PB.752.2	173
PB.752.3	2
PB.752.4	2
PB.752.5	3
PB.752.6	3
PB.752.7	2
PB.752.8	7
PB.753.2	8
PB.753.4	48
PB.756.16	2
PB.756.18	10
PB.756.19	2
PB.756.2	4
PB.756.21	3
PB.756.24	3
PB.756.25	3
PB.756.26	2
PB.756.27	3
PB.756.28	3
PB.756.29	2
PB.756.3	59
PB.756.30	8
PB.756.31	2
PB.756.32	16
PB.756.33	3
PB.756.34	5
PB.756.35	6
PB.756.36	5
PB.756.38	6
PB.756.39	8
PB.756.4	2
PB.756.40	2
PB.756.41	2
PB.756.42	5
PB.756.43	15
PB.756.44	2
PB.756.45	5
PB.756.46	6
PB.756.47	26
PB.756.48	2
PB.756.49	2
PB.756.50	4
PB.756.51	7
PB.756.53	30
PB.756.54	4
PB.756.56	3
PB.756.57	2
PB.756.58	18
PB.756.59	21
PB.756.60	2
PB.756.61	4
PB.756.62	26
PB.756.63	33
PB.756.64	2
PB.756.65	2
PB.756.66	2
PB.756.67	2
PB.756.68	37
PB.756.69	4
PB.756.71	39
PB.756.72	2
PB.756.75	2
PB.756.76	23
PB.756.77	2
PB.756.78	23
PB.756.8	12
PB.756.80	35
PB.756.81	2
PB.756.85	4
PB.756.86	34
PB.756.87	2
PB.756.88	19
PB.756.89	2
PB.756.90	2
PB.756.91	15
PB.756.92	29
PB.756.93	9
PB.756.94	11
PB.756.95	10
PB.756.97	23
PB.757.1	27
PB.758.1	69
PB.758.2	2
PB.758.5	5
PB.758.6	3
PB.758.7	5
PB.759.1	3
PB.759.2	2
PB.759.3	2
PB.760.1	5
PB.760.2	2
PB.760.3	2
PB.760.4	89
PB.760.6	8
PB.761.1	3
PB.761.2	24
PB.761.4	2
PB.761.6	5
PB.762.1	2
PB.762.2	2
PB.762.3	59
PB.762.4	2
PB.762.5	2
PB.762.6	2
PB.763.1	7
PB.763.2	3
PB.764.1	62
PB.764.3	3
PB.764.4	6
PB.765.1	7
PB.767.1	53
PB.767.3	24
PB.769.1	10
PB.769.2	6
PB.770.1	5
PB.771.1	2
PB.772.1	2
PB.772.2	3
PB.773.2	2
PB.773.3	123
PB.773.4	2
PB.774.1	3
PB.774.2	3
PB.774.3	2
PB.775.3	2
PB.776.1	3
PB.776.2	3
PB.776.3	37
PB.776.4	4
PB.776.5	2
PB.776.6	2
PB.776.7	2
PB.777.1	5
PB.777.2	2
PB.778.1	2
PB.778.2	2
PB.778.3	2
PB.778.5	2
PB.779.1	8
PB.780.1	2
PB.780.2	2
PB.781.1	2
PB.781.2	4
PB.781.3	2
PB.781.4	2
PB.783.1	5
PB.784.1	19
PB.785.1	300
PB.785.2	5
PB.785.3	29
PB.785.6	2
PB.786.2	2
PB.786.3	22
PB.787.1	2
PB.787.2	8
PB.788.1	2
PB.788.2	32
PB.788.3	2
PB.789.1	3
PB.790.1	8
PB.790.2	36
PB.790.4	2
PB.791.2	37
PB.792.2	17
PB.792.4	5
PB.793.12	2
PB.793.2	2
PB.793.3	2
PB.793.4	61
PB.793.5	3
PB.793.7	13
PB.793.8	2
PB.794.1	18
PB.794.2	2
PB.795.1	2
PB.798.1	157
PB.798.10	12
PB.798.11	2
PB.798.12	11
PB.798.13	9
PB.798.14	8
PB.798.15	14
PB.798.16	3
PB.798.17	3
PB.798.18	7
