"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"novel_PB.1707.17",184.47206025323,25.2304793405336,2.56401713393333,9.84021479678211,0.0000000000000000000000755493655214377,0.000000000000000000439621757969246
"ENSMUST00000082414.1_PB.13705.593",132.723564089379,-25.4794027186649,2.74374029998711,-9.28637550674333,0.0000000000000000000159631772125197,0.0000000000000000464448640998261
"ENSMUST00000082414.1_PB.13705.595",111.608312707133,-25.2393116775075,2.74526475379202,-9.1937623293508,0.0000000000000000000379336182682668,0.0000000000000000552690560230836
"ENSMUST00000082402.1_PB.13705.637",241.574423772227,-26.3044139750817,2.8611668694789,-9.19359659014662,0.0000000000000000000379921333721145,0.0000000000000000552690560230836
"ENSMUST00000028727.10_PB.7138.34",115.814250172378,-25.2904600840277,2.81504108270734,-8.9840465346619,0.000000000000000000260987297658609,0.000000000000000253114180845908
"ENSMUST00000028727.10_PB.7138.35",115.814250172378,-25.2904600840277,2.81504108270734,-8.9840465346619,0.000000000000000000260987297658609,0.000000000000000253114180845908
"ENSMUST00000082408.1_PB.13705.640",357.423342720691,-26.8229604981237,3.00325284604443,-8.93130278173286,0.00000000000000000042102106447861,0.000000000000000349988796314433
"novel_PB.1028.18",53.4644440367028,-24.246557735577,2.72410369367934,-8.90074698398432,0.000000000000000000554720808109395,0.000000000000000403490047798571
"ENSMUST00000017534.14_PB.1818.53",91.428945070484,-24.9721545977749,2.81234313756675,-8.87948353961561,0.000000000000000000671715038694577,0.000000000000000434301090018193
"ENSMUST00000021273.12_PB.1729.39",81.6382742479232,-24.8191292101164,2.80438633581782,-8.85011059037221,0.000000000000000000874326137531181,0.000000000000000508770379429394
"ENSMUST00000082402.1_PB.13705.122",193.338820093687,25.3179775351195,2.86734119054368,8.82977499106722,0.00000000000000000104886508893448,0.000000000000000554849632046341
"ENSMUST00000019649.3_PB.1707.21",135.211728448984,24.8126360445358,2.8521038095082,8.69976610311893,0.00000000000000000332568923564308,0.00000000000000138229897587194
"novel_PB.1707.22",135.211728448984,24.8126360445358,2.8521038095082,8.69976610311893,0.00000000000000000332568923564308,0.00000000000000138229897587194
"ENSMUST00000019649.3_PB.1707.24",135.211728448984,24.8126360445358,2.8521038095082,8.69976610311893,0.00000000000000000332568923564308,0.00000000000000138229897587194
"ENSMUST00000001304.8_PB.3148.34",40.4367392693352,-23.848136720172,2.74960280090065,-8.67330245385276,0.00000000000000000419765060219695,0.00000000000000153984935165398
"ENSMUST00000209469.1_PB.6299.10",47.9918239285053,-24.0936494755529,2.77822381281584,-8.67232127390522,0.0000000000000000042339903121608,0.00000000000000153984935165398
"ENSMUST00000024932.11_PB.5614.16",30.8077035996869,-23.4946907253532,2.71539067951906,-8.65241635487773,0.00000000000000000504203097924181,0.00000000000000164852287636195
"ENSMUST00000019109.7_PB.9524.10",53.0106749746001,-24.2308130927227,2.80088564368072,-8.65112545647539,0.00000000000000000509940054554307,0.00000000000000164852287636195
"ENSMUST00000110082.10_PB.2868.48",35.785983231955,-23.66415532722,2.74131354896005,-8.63241468171243,0.00000000000000000600701478767076,0.00000000000000183972731839243
"ENSMUST00000110082.10_PB.2868.47",35.7161403895252,-23.6591230351137,2.74358415219524,-8.62343625078283,0.00000000000000000649743529299109,0.00000000000000189042879849576
"ENSMUST00000064989.11_PB.11478.35",36.0843265354602,-23.6693251656512,2.75134350092133,-8.60282445929601,0.00000000000000000777778886701577,0.00000000000000215518825796023
"ENSMUST00000006435.7_PB.12279.13",41.7244678548979,-23.6858590389038,2.7585323994347,-8.5863987110529,0.00000000000000000897378572890456,0.00000000000000237356632529526
"ENSMUST00000027425.15_PB.151.8",35.02178605806,-23.6296109636523,2.75880749985184,-8.56515395326472,0.0000000000000000107931537701258,0.00000000000000273066790384184
"ENSMUST00000035700.13_PB.13230.29",31.8764998635569,-23.5095586762815,2.75350170908388,-8.53805850155197,0.0000000000000000136495815045365,0.00000000000000330945478228741
"ENSMUST00000019649.3_PB.1707.40",145.07191593573,-25.6050421702412,3.00336478768848,-8.52545194483283,0.0000000000000000152214324058427,0.00000000000000354294060678394
"ENSMUST00000034301.11_PB.12303.14",27.2945244818156,-23.315766996176,2.73907656553119,-8.51227281835925,0.0000000000000000170556702648944,0.00000000000000381719020274695
"ENSMUST00000017534.14_PB.1818.54",91.4970587846202,-23.821060464613,2.80343244206047,-8.49710522972511,0.0000000000000000194377210947495,0.00000000000000418918885371657
"ENSMUST00000019649.3_PB.1707.61",130.348435292631,-25.4596717495482,3.00338609096816,-8.47698929755021,0.0000000000000000231096196551875,0.00000000000000480267417048343
"ENSMUST00000034301.11_PB.12303.13",27.154838796956,-23.3223114565936,2.75458844681464,-8.46671359693067,0.0000000000000000252413731170594,0.00000000000000506481207476443
"ENSMUST00000102888.9_PB.6033.34",38.8237800078689,23.0764105166826,2.7716206400679,8.32596286197281,0.0000000000000000836460272478499,0.0000000000000162245410851746
"ENSMUST00000091288.12_PB.7128.27",57.4831974083753,-24.3438556367954,3.00365196479019,-8.10475245539837,0.00000000000000052853016166603,0.0000000000000992102261527299
"ENSMUST00000082388.1_PB.13705.597",47.3824000219679,-24.0746398895658,2.99698047145975,-8.03296521910258,0.00000000000000095144646973526,0.000000000000173014593980921
"ENSMUST00000190277.1_PB.13705.701",39.0234140166168,-23.8130145258593,2.99042039979875,-7.96309927776771,0.00000000000000167782735141379,0.000000000000287155216408142
"ENSMUST00000082409.1_PB.13705.693",39.3006631955296,-23.8250023258879,2.99089774556874,-7.96583646538455,0.00000000000000164109854843749,0.000000000000287155216408142
"ENSMUST00000026459.5_PB.1155.16",33.8436359836278,-23.6224652529448,2.96855558171814,-7.95756205422725,0.00000000000000175462129441558,0.000000000000291718323205837
"ENSMUST00000082390.1_PB.13705.425",31.2641013734232,-23.5134539052879,2.96165464641319,-7.93929634360462,0.00000000000000203331446799085,0.000000000000328662691367744
