sample,run_id
A1193_Twin2_Adult,m54082_181217_054735
A1191_Twin1_Adult,m54082_181216_092744
A002-94_FL1_Adult,m54082_180606_210950
A002-94_FL2_Adult,m54082_180815_111944
A194-95_Adult,m54082_180817_142929
11921_Fetal,m54082_190305_120835
12971_FL1_Fetal,m54082_180223_161459
12971_FL2_Fetal,m54082_170222_185554
12972_FL1_Fetal,m54082_170223_234030
12972_FL2_Fetal,m54082_190228_180141
